id,fecha,producto,cantidad,precio
99,07/04/2024,Impresora,4,1530
100,08/04/2024,Monitor,5,1710
101,09/04/2024,Auriculares,2,3196
102,10/04/2024,Auriculares,3,2332
103,11/04/2024,Mouse,3,2384
104,12/04/2024,Mouse,5,1196
105,13/04/2024,Mouse,1,8376
106,14/04/2024,Monitor,2,3903
107,15/04/2024,Laptop,3,1782
108,16/04/2024,Laptop,5,440
109,17/04/2024,Impresora,2,3752
110,18/04/2024,Impresora,2,2146
111,19/04/2024,Laptop,1,6631
112,20/04/2024,Auriculares,1,4138
113,21/04/2024,Monitor,1,1003
114,22/04/2024,Laptop,3,2699
115,23/04/2024,Laptop,5,1144
116,24/04/2024,Monitor,3,2303
117,25/04/2024,Auriculares,4,602
118,26/04/2024,Monitor,5,1360
119,27/04/2024,Monitor,5,574
120,28/04/2024,Impresora,4,1628
121,29/04/2024,Monitor,4,661
122,30/04/2024,Mouse,2,1140
123,01/05/2024,Laptop,1,4256
124,02/05/2024,Auriculares,4,579
125,03/05/2024,Teclado,4,2229
126,04/05/2024,Mouse,4,1146
127,05/05/2024,Auriculares,1,3282
128,06/05/2024,Auriculares,1,1971
129,07/05/2024,Laptop,4,1177
130,08/05/2024,Auriculares,3,2915
131,09/05/2024,Laptop,2,1448
132,10/05/2024,Monitor,2,3119
133,11/05/2024,Impresora,4,901
134,12/05/2024,Monitor,4,1593
135,13/05/2024,Monitor,3,349
136,14/05/2024,Mouse,2,2658
137,15/05/2024,Laptop,4,1561
138,16/05/2024,Impresora,1,1665
139,17/05/2024,Laptop,5,543
140,18/05/2024,Laptop,1,1588
141,19/05/2024,Monitor,2,2887
142,20/05/2024,Mouse,4,1098
143,21/05/2024,Mouse,2,3211
144,22/05/2024,Mouse,1,2335
145,23/05/2024,Monitor,4,1540
146,24/05/2024,Laptop,4,1170
147,25/05/2024,Teclado,4,1261
148,26/05/2024,Teclado,4,1952
149,27/05/2024,Auriculares,5,1658
150,28/05/2024,Auriculares,4,956
151,29/05/2024,Monitor,2,1820
152,30/05/2024,Teclado,2,3570
153,31/05/2024,Laptop,5,1670
154,01/06/2024,Auriculares,5,448
155,02/06/2024,Laptop,3,1135
156,03/06/2024,Laptop,1,6935
157,04/06/2024,Impresora,4,467
158,05/06/2024,Impresora,5,1089
159,06/06/2024,Monitor,1,6366
160,07/06/2024,Impresora,1,2993
161,08/06/2024,Monitor,1,3163
162,09/06/2024,Impresora,1,2286
163,10/06/2024,Auriculares,2,4094
164,11/06/2024,Mouse,1,4453
165,12/06/2024,Impresora,2,2521
166,13/06/2024,Impresora,5,1641
167,14/06/2024,Laptop,5,514
168,15/06/2024,Laptop,4,936.
169,16/06/2024,Auriculares,5,513
170,17/06/2024,Impresora,5,368
171,18/06/2024,Teclado,3,1317
172,19/06/2024,Monitor,3,1038
173,20/06/2024,Monitor,3,2127
174,21/06/2024,Mouse,2,2184
175,22/06/2024,Auriculares,3,1917
176,23/06/2024,Mouse,3,1017
177,24/06/2024,Laptop,1,8441
178,25/06/2024,Mouse,5,263
179,26/06/2024,Impresora,1,5281
180,27/06/2024,Laptop,5,1169
181,28/06/2024,Monitor,5,1448
182,29/06/2024,Teclado,2,2900
183,30/06/2024,Teclado,1,7368
184,01/07/2024,Monitor,3,1512
185,02/07/2024,Teclado,2,1712
186,03/07/2024,Mouse,5,1414
187,04/07/2024,Auriculares,3,1024
188,05/07/2024,Impresora,5,1188
189,06/07/2024,Laptop,5,703
190,07/07/2024,Teclado,1,6201
191,08/07/2024,Monitor,3,1159
192,09/07/2024,Laptop,1,8031
193,10/07/2024,Auriculares,5,1535
194,11/07/2024,Monitor,3,1290
195,12/07/2024,Teclado,5,638
196,13/07/2024,Monitor,3,1557
197,14/07/2024,Monitor,3,932
198,15/07/2024,Impresora,4,450
199,16/07/2024,Teclado,1,6390
200,17/07/2024,Laptop,4,1270
201,18/07/2024,Teclado,1,6996
202,19/07/2024,Laptop,3,343
203,20/07/2024,Monitor,3,459
204,21/07/2024,Monitor,4,609
205,22/07/2024,Impresora,4,1825
